gene_name	quality	n	total	percent
GRIN1	high: >33	43	76	56.57894736842105
GUSB	mid: >23, <=33	1	76	1.3157894736842104
GUSB	high: >33	75	76	98.68421052631578
H19	low: >17, <= 23	1	76	1.3157894736842104
H19	mid: >23, <=33	8	76	10.526315789473683
H19	high: >33	67	76	88.1578947368421
HBG1	very low: <= 17	7	76	9.210526315789473
HBG1	mid: >23, <=33	12	76	15.789473684210526
HBG1	high: >33	57	76	75
HBM	very low: <= 17	10	74	13.513513513513514
HBM	low: >17, <= 23	12	74	16.216216216216218
HBM	mid: >23, <=33	19	74	25.675675675675674
HBM	high: >33	33	74	44.5945945945946
HCN2	low: >17, <= 23	1	76	1.3157894736842104
HCN2	mid: >23, <=33	3	76	3.9473684210526314
HCN2	high: >33	72	76	94.73684210526315
HCN3	mid: >23, <=33	12	76	15.789473684210526
HCN3	high: >33	64	76	84.21052631578947
HLA-A	mid: >23, <=33	3	76	3.9473684210526314
HLA-A	high: >33	73	76	96.05263157894737
HLA-B	high: >33	76	76	100
HLA-C	very low: <= 17	1	76	1.3157894736842104
HLA-C	mid: >23, <=33	3	76	3.9473684210526314
HLA-C	high: >33	72	76	94.73684210526315
HLA-DMA	mid: >23, <=33	9	76	11.842105263157894
HLA-DMA	high: >33	67	76	88.1578947368421
HLA-DMB	mid: >23, <=33	28	76	36.84210526315789
HLA-DMB	high: >33	48	76	63.1578947368421
HLA-DOA	mid: >23, <=33	21	76	27.631578947368425
HLA-DOA	high: >33	55	76	72.36842105263158
HLA-DPA1	mid: >23, <=33	6	76	7.894736842105263
HLA-DPA1	high: >33	70	76	92.10526315789474
HLA-DPB2	mid: >23, <=33	9	76	11.842105263157894
HLA-DPB2	high: >33	67	76	88.1578947368421
HLA-DQA1	mid: >23, <=33	6	76	7.894736842105263
HLA-DQA1	high: >33	70	76	92.10526315789474
HLA-DQA2	very low: <= 17	1	76	1.3157894736842104
HLA-DQA2	mid: >23, <=33	7	76	9.210526315789473
HLA-DQA2	high: >33	68	76	89.47368421052632
HLA-DQB1	low: >17, <= 23	1	46	2.1739130434782608
HLA-DQB1	mid: >23, <=33	2	46	4.3478260869565215
HLA-DQB1	high: >33	43	46	93.47826086956522
HLA-DQB2	low: >17, <= 23	1	76	1.3157894736842104
HLA-DQB2	mid: >23, <=33	7	76	9.210526315789473
HLA-DQB2	high: >33	68	76	89.47368421052632
HLA-DRA	low: >17, <= 23	7	76	9.210526315789473
HLA-DRA	mid: >23, <=33	15	76	19.736842105263158
HLA-DRA	high: >33	54	76	71.05263157894737
HLA-DRB5	high: >33	76	76	100
HLA-E	mid: >23, <=33	20	76	26.31578947368421
HLA-E	high: >33	56	76	73.68421052631578
HLA-F	low: >17, <= 23	2	76	2.631578947368421
HLA-F	mid: >23, <=33	26	76	34.21052631578947
HLA-F	high: >33	48	76	63.1578947368421
HLA-G	mid: >23, <=33	2	76	2.631578947368421
HLA-G	high: >33	74	76	97.36842105263158
HLA-J	mid: >23, <=33	5	76	6.578947368421052
HLA-J	high: >33	71	76	93.42105263157895
HLA-L	mid: >23, <=33	6	76	7.894736842105263
HLA-L	high: >33	70	76	92.10526315789474
HLA-N	mid: >23, <=33	21	76	27.631578947368425
HLA-N	high: >33	55	76	72.36842105263158
HLA-S	low: >17, <= 23	3	76	3.9473684210526314
HLA-S	mid: >23, <=33	7	76	9.210526315789473
HLA-S	high: >33	66	76	86.8421052631579
HMGCL	mid: >23, <=33	23	76	30.263157894736842
HMGCL	high: >33	53	76	69.73684210526315
HMX1	mid: >23, <=33	3	76	3.9473684210526314
HMX1	high: >33	73	76	96.05263157894737
HNF1A	very low: <= 17	1	76	1.3157894736842104
HNF1A	low: >17, <= 23	11	76	14.473684210526317
HNF1A	mid: >23, <=33	21	76	27.631578947368425
HNF1A	high: >33	43	76	56.57894736842105
HOXB8	mid: >23, <=33	24	76	31.57894736842105
HOXB8	high: >33	52	76	68.42105263157895
HPD	low: >17, <= 23	2	74	2.7027027027027026
HPD	mid: >23, <=33	11	74	14.864864864864865
HPD	high: >33	61	74	82.43243243243244
HSD11B2	mid: >23, <=33	21	76	27.631578947368425
HSD11B2	high: >33	55	76	72.36842105263158
HYAL1	very low: <= 17	34	76	44.73684210526316
HYAL1	low: >17, <= 23	1	76	1.3157894736842104
HYAL1	mid: >23, <=33	9	76	11.842105263157894
HYAL1	high: >33	32	76	42.10526315789473
HYDIN	high: >33	74	74	100
IFITM3	very low: <= 17	12	76	15.789473684210526
IFITM3	low: >17, <= 23	2	76	2.631578947368421
IFITM3	mid: >23, <=33	8	76	10.526315789473683
IFITM3	high: >33	54	76	71.05263157894737
IFNL3	mid: >23, <=33	13	76	17.105263157894736
IFNL3	high: >33	63	76	82.89473684210526
IKBKB	high: >33	76	76	100
IMPA1	low: >17, <= 23	3	76	3.9473684210526314
IMPA1	mid: >23, <=33	13	76	17.105263157894736
IMPA1	high: >33	60	76	78.94736842105263
INPP5E	very low: <= 17	3	76	3.9473684210526314
INPP5E	low: >17, <= 23	28	76	36.84210526315789
INPP5E	mid: >23, <=33	8	76	10.526315789473683
INPP5E	high: >33	37	76	48.68421052631579
INSL3	mid: >23, <=33	28	76	36.84210526315789
INSL3	high: >33	48	76	63.1578947368421
JAG2	very low: <= 17	9	74	12.162162162162163
JAG2	low: >17, <= 23	8	74	10.81081081081081
JAG2	mid: >23, <=33	7	74	9.45945945945946
JAG2	high: >33	50	74	67.56756756756756
